file_name,tokens,words
2020-03-02_Virtual Town Hall 0_section-titles.md,9101,7304
2020-03-06_Virtual Town Hall 00_section-titles.md,9679,7641
2020-03-25_Virtual Town Hall 1_section-titles.md,8759,6996
2020-04-01_Virtual Town Hall 2_section-titles.md,11358,9217
2020-04-08_Virtual Town Hall 3_section-titles.md,10144,8223
2020-04-15_Virtual Town Hall 4_section-titles.md,8734,7214
2020-04-22_Virtual Town Hall 5_section-titles.md,9147,7490
2020-04-29_Virtual Town Hall 6_section-titles.md,8779,7014
2020-05-06_Virtual Town Hall 7_section-titles.md,9489,7780
2020-05-13_Virtual Town Hall 8_section-titles.md,9800,7875
2020-05-20_Virtual Town Hall 9_section-titles.md,9942,7842
2020-05-27_Virtual Town Hall 10_section-titles.md,9700,7658
2020-06-03_Virtual Town Hall 11_section-titles.md,7891,6422
2020-06-10_Virtual Town Hall 12_section-titles.md,11108,8992
2020-06-17_Virtual Town Hall 13_section-titles.md,9554,7457
2020-06-24_Virtual Town Hall 14_section-titles.md,9756,7876
2020-07-01_Virtual Town Hall 15_section-titles.md,8835,7315
2020-07-08_Virtual Town Hall 16_section-titles.md,10760,8604
2020-07-15_Virtual Town Hall 17_section-titles.md,9677,7417
2020-07-22_Virtual Town Hall 18_section-titles.md,9886,7950
2020-07-29_Virtual Town Hall 19_section-titles.md,10323,8005
2020-08-05_Virtual Town Hall 20_section-titles.md,9826,7870
2020-08-12_Virtual Town Hall 21_section-titles.md,7552,5941
2020-08-19_Virtual Town Hall 22_section-titles.md,10587,8696
2020-08-26_Virtual Town Hall 23_section-titles.md,9786,8015
2020-09-02_Virtual Town Hall 24_section-titles.md,10153,7936
2020-09-09_Virtual Town Hall 25_section-titles.md,8774,7210
2020-09-16_Virtual Town Hall 26_section-titles.md,9141,7485
2020-09-23_Virtual Town Hall 27_section-titles.md,9453,7456
2020-09-30_Virtual Town Hall 28_section-titles.md,9304,7345
2020-10-07_Virtual Town Hall 29_section-titles.md,9028,7312
2020-10-14_Virtual Town Hall 30_section-titles.md,10357,8339
2020-10-21_Virtual Town Hall 31_section-titles.md,9642,7849
2020-10-28_Virtual Town Hall 32_section-titles.md,9532,7686
2020-11-04_Virtual Town Hall 33_section-titles.md,7836,6292
2020-11-18_Virtual Town Hall 34_section-titles.md,9014,7214
2020-12-02_Virtual Town Hall 35_section-titles.md,8990,7316
2020-12-09_Virtual Town Hall 36_section-titles.md,9156,7498
2020-12-16_Virtual Town Hall 37_section-titles.md,9990,8060
2021-01-06_Virtual Town Hall 38_section-titles.md,7859,6525
2021-01-13_Virtual Town Hall 39_section-titles.md,8565,6972
2021-01-27_Virtual Town Hall 40_section-titles.md,9501,7527
2021-02-03_Virtual Town Hall 41_section-titles.md,10091,8148
2021-02-10_Virtual Town Hall 42_section-titles.md,8456,6508
2021-02-17_Virtual Town Hall 43_section-titles.md,10532,8434
2021-02-24_Virtual Town Hall 44_section-titles.md,10655,8586
2021-03-03_Virtual Town Hall 45_section-titles.md,9463,7707
2021-03-10_Virtual Town Hall 46_section-titles.md,7087,5500
2021-03-17_Virtual Town Hall 47_section-titles.md,9638,7871
2021-03-24_Virtual Town Hall 48_section-titles.md,8800,7266
2021-03-31_Virtual Town Hall 49_section-titles.md,8653,7052
2021-04-07_Virtual Town Hall 50_section-titles.md,9234,7495
2021-04-14_Virtual Town Hall 51_section-titles.md,8059,6498
2021-04-21_Virtual Town Hall 52_section-titles.md,9178,7256
2021-04-28_Virtual Town Hall 53_section-titles.md,9465,7699
2021-05-05_Virtual Town Hall 54_section-titles.md,8470,6790
2021-05-12_Virtual Town Hall 55_section-titles.md,9383,7576
2021-05-19_Virtual Town Hall 56_section-titles.md,9659,7622
2021-05-26_Virtual Town Hall 57_section-titles.md,9401,7535
2021-06-02_Virtual Town Hall 58_section-titles.md,9223,7231
2021-06-09_Virtual Town Hall 59_section-titles.md,9462,7578
2021-06-16_Virtual Town Hall 60_section-titles.md,7735,6154
2021-06-23_Virtual Town Hall 61_section-titles.md,9452,7579
2021-06-30_Virtual Town Hall 62_section-titles.md,8293,6652
2021-07-14_Virtual Town Hall 63_section-titles.md,6496,5309
2021-07-28_Virtual Town Hall 64_section-titles.md,8378,6833
2021-08-04_Virtual Town Hall 65_section-titles.md,5950,4663
2021-08-11_Virtual Town Hall 66_section-titles.md,9100,7210
2021-08-18_Virtual Town Hall 67_section-titles.md,8510,6471
2021-08-25_Virtual Town Hall 68_section-titles.md,9529,7422
2021-09-08_Virtual Town Hall 69_section-titles.md,7635,6253
2021-09-22_Virtual Town Hall 70_section-titles.md,9748,7717
2021-10-06_Virtual Town Hall 71_section-titles.md,9563,7423
2021-10-21_Virtual Town Hall 72_section-titles.md,9633,7775
2021-11-17_Virtual Town Hall 73_section-titles.md,9482,7469
2021-12-01_Virtual Town Hall 74_section-titles.md,9435,7444
2021-12-15_Virtual Town Hall 75_section-titles.md,11338,8755
2022-01-12_Virtual Town Hall 76_section-titles.md,8950,6998
2022-01-26_Virtual Town Hall 77_section-titles.md,10561,8156
2022-02-09_Virtual Town Hall 78_section-titles.md,9666,7416
2022-02-23_Virtual Town Hall 79_section-titles.md,10364,7933
2022-03-09_Virtual Town Hall 80_section-titles.md,10115,7791
2022-03-23_Virtual Town Hall 81_section-titles.md,9415,7231
2022-04-06_Virtual Town Hall 82_section-titles.md,10704,8107
2022-04-20_Virtual Town Hall 83_section-titles.md,9726,7463
2022-05-04_Virtual Town Hall 84_section-titles.md,9520,7065
2022-05-18_Virtual Town Hall 85_section-titles.md,9793,7241
2022-06-01_Virtual Town Hall 86_section-titles.md,8955,6778
2022-06-15_Virtual Town Hall 87_section-titles.md,8486,6470
2022-06-29_Virtual Town Hall 88_section-titles.md,9379,7290
2022-07-27_Virtual Town Hall 89_section-titles.md,7623,5732
2022-08-24_Virtual Town Hall 90_section-titles.md,5515,4330
2022-09-28_Virtual Town Hall 93_section-titles.md,9270,7166
2022-10-26_Virtual Town Hall 96_section-titles.md,9221,6879
2022-11-30_Virtual Town Hall 98_section-titles.md,9187,6973
2022-12-14_Virtual Town Hall 99_section-titles.md,3368,2623
2023-01-11_Virtual Town Hall 100_section-titles.md,7487,5818
2023-02-15_Virtual Town Hall 101_section-titles.md,6770,5143
2023-03-22_Virtual Town Hall 102_section-titles.md,8667,6763
2023-04-26_Virtual Town Hall 103_section-titles.md,8462,6845
